idx,class,conversation
0,협박 대화,"지금 너 스스로를 죽여달라고 애원하는 것인가?
 아닙니다. 죄송합니다.
 죽을 거면 혼자 죽지 우리까지 사건에 휘말리게 해? 진짜 죽여버리고 싶게.
 정말 잘못했습니다.
 너가 선택해. 너가 죽을래 네 가족을 죽여줄까.
 죄송합니다. 정말 잘못했습니다.
 너에게는 선택권이 없어. 선택 못한다면 너와 네 가족까지 모조리 죽여버릴거야.
 선택 못하겠습니다. 한번만 도와주세요.
 그냥 다 죽여버려야겠군. 이의 없지?
 제발 도와주세요."
1,협박 대화,"길동경찰서입니다.
9시 40분 마트에 폭발물을 설치할거다.
네?
똑바로 들어 한번만 더 얘기한다.
장난전화 걸지 마시죠. 
9시 40분 마트에 폭발물이 터지면 다 죽는거야. 
장난전화는 업무방해죄에 해당됩니다.
판단은 너에게 달려있다. 길동경찰서에도 폭발물 터지면 꽤나 재미있겠지.
선생님 진정하세요.
난 이야기했어. 경고했다는 말이야."
2,기타 괴롭힘 대화,"너 되게 귀여운거 알지? 나보다 작은 남자는 첨봤어.
그만해. 니들 놀리는거 재미없어.
지영아 너가 키 160이지? 그럼 재는 160도 안돼는거네?
너 군대도 안가고 좋겠다.
니들이 나 작은데 보태준거 있냐?
난쟁이들도 장가가고하던데. 너도 희망을 가져봐 
더이상 하지마라. 
그 키크는 수술도 있대잖아? 니네 엄마는 그거 안해주디?
나람 해줬어. 저 키로 어찌살아.
제발 그만 괴롭히라고!"
3,갈취 대화,"어이 거기
예??
너 말이야 너. 이리 오라고
무슨 일.
너 옷 좋아보인다?
얘 돈 좀 있나봐
아니에요.돈 없어요
뒤져서 나오면 넌 죽는다
오늘 피시방 콜?
콜. 마지막 기회다. 있는거 다 내놔
정말 없어요"
4,갈취 대화,"저기요 혹시 날이 너무 뜨겁잖아요? 저희 회사에서 이 선크림 파는데 한 번 손등에 발라보실래요?
아 진짜요? 안 그래도 선크림 필요해서 알아보던 중인데 한 번 발라 볼게요!
여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요.
음. 성분이 좋다고 하셔서 좋은거 같기는 한데 제 피부에 맞지 않나봐요. 피부가 따끔거리네요.
이번에 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요.
네 많이 예민해요. 그럼 많이 파시고 안녕히 계세요.
아니 저기요 돈 안내요?
네? 발라보는것도 돈 내야 하나요?
그럼 이거 누구한테 팔아요? 당신이 바른거를?
아니 먼저 발라 보시라고 하셨잖아요. 먼저 권유해놓고 사라고 강매하는거 갈취인거 몰라요?
내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이 사야지
진짜 어이가 없어서 다른 사람들한텐 이렇게 갈취하지마세요. 화딱지나네"
5,직장 내 괴롭힘 대화,"나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로.
가나다 음식점이요.?
응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘.
저.팀장님. 저도 월 말 프로젝트로 정신없어서.죄송하지만.
사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지!
하지만 팀 프로젝트라서 이번엔.
말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?!
아닙니다. 제가 말 실수 했습니다. 말씀하신 예약 꼭 해두겠습니다.
이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?!
죄송합니다. 알겠습니다."
6,기타 괴롭힘 대화,"35번 손님 아이스커피 두잔나왔습니다
아이스커피? 
네 맛있게드세요
저기요 아가씨 나는 아아스 시킨적이 없는데?
아 분명 오늘 날이 더우시다고 아이스로 시키셨는데요
내가 그랫어? 
네분명히.
아그런 기억이 없는데? 아가씨가잘못안거 아니야?
아니요. 오늘 손님이 첫 주문이라 확실히 기억하고 있습니다
아가씨. 왜이렇게 유도리가 없이 굴어 그냥 아 제가 잘못 주문 받았습니다 하면 되지?
.네?.
어휴 유도리 없어 그냥 마실게"
7,기타 괴롭힘 대화,"경비아저씨 내차에 경고장 붙였어요?
내가 여기 몇년째 사는데 아직도 내차인줄 모르고 이딴식으로 경고장을 붙여?
입주민께서 정해진 주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속 들어옵니다.
내가 항상 대는 거기 자리가 없으니까 그렇지.
내차 이거 어떻게 할거요? 얼마짜린줄 알아?
수차례 인터폰도 드렸고 경고장을 올렸으나 몇일째 그대로 인지라 아파트규약에 맞춰 어쩔수 없었습니다
그렇다고 본드로 붙이면 어떻게? 당장 이거 깨끗히 원상복구시키고 세차해와
그럴 수는 없습니다.
내가 낸 관리비로 월급받는 주제에 뭐라는거야? 안붙혔으면 되잖아.나 지금 거기 가요!
말씀이 과하신거 아닙니까?
딱 기다려요 이름뭐죠? 나 지금 가면 당신 이제 끝이야"
8,기타 괴롭힘 대화,"이거 할인 된다면서요
 확인해보겠습니다
 아까 저 시람은 할인 해주던데
 네 저 손님은 고객님이십니다
 고객을 차별하는 거에요?
 저희는 등급제로 운영돼서 그런겁니다
 점장 불러오세요
 손님 이건 점장님도 해결해주시지 못합니다
 그니까 점장 불러와
 진정을 좀 해보세요"
9,갈취 대화,"자네 세금계산서 보내준 거 메일이랑 수치가 다르던데?
그게.
얼마나 해먹었어? 괜찮아. 다른 업체들도 다 그래.
회사에는 비밀로 해주십시오.
그래그래. 근데 성의는 표시해야지?
어느정도.생각하시죠?
10장. 네가 많이도 해먹었는데 그정도는 되겠지?
그건 너무 많습니다.
그럼 김사장한테 직접 말하는 수밖에 없지. 그리고 이 건은 국세청에도 걸리는거 알지?
좀 더 기한을 주십시오."
