id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
173,2024-07-31 06:27:57.347652,7.3,2.9,6.3,1.8,2
172,2024-07-31 06:27:56.342394,6.0,2.9,4.5,1.5,1
171,2024-07-31 06:27:55.337020,5.5,2.3,4.0,1.3,1
170,2024-07-31 06:27:54.329002,4.4,3.0,1.3,0.2,0
169,2024-07-31 06:27:53.323535,5.4,3.4,1.5,0.4,0
168,2024-07-31 06:27:52.315657,5.1,3.8,1.9,0.4,0
167,2024-07-31 06:27:51.307007,5.0,3.4,1.6,0.4,0
166,2024-07-31 06:27:50.301568,4.9,3.0,1.4,0.2,0
165,2024-07-31 06:27:49.293637,5.0,2.3,3.3,1.0,1
164,2024-07-31 06:27:48.285702,5.0,3.5,1.3,0.3,0
163,2024-07-31 06:27:47.278824,5.8,2.7,5.1,1.9,2
162,2024-07-31 06:27:46.270947,6.7,2.5,5.8,1.8,2
161,2024-07-31 06:27:45.264967,6.4,3.1,5.5,1.8,2
160,2024-07-31 06:27:44.257238,5.4,3.7,1.5,0.2,0
159,2024-07-31 06:27:43.251076,6.0,3.0,4.8,1.8,2
158,2024-07-31 06:27:42.245536,5.1,3.4,1.5,0.2,0
157,2024-07-31 06:27:41.237474,6.7,3.1,4.4,1.4,1
156,2024-07-31 06:27:40.229813,6.7,2.5,5.8,1.8,2
155,2024-07-31 06:27:39.224542,5.8,2.7,5.1,1.9,2
154,2024-07-31 06:27:38.219225,5.5,2.5,4.0,1.3,1
153,2024-07-31 06:27:37.214818,4.9,3.1,1.5,0.1,0
152,2024-07-31 06:27:36.209376,6.4,3.2,5.3,2.3,2
151,2024-07-31 06:27:35.201054,4.8,3.0,1.4,0.1,0
150,2024-07-31 06:27:34.196090,4.4,3.0,1.3,0.2,0
149,2024-07-31 06:27:33.187864,6.1,2.9,4.7,1.4,1
148,2024-07-31 06:27:32.182535,6.6,3.0,4.4,1.4,1
147,2024-07-31 06:27:31.174661,4.9,3.1,1.5,0.2,0
146,2024-07-31 06:27:30.169453,5.7,2.5,5.0,2.0,2
145,2024-07-31 06:27:29.164288,5.9,3.2,4.8,1.8,1
144,2024-07-31 06:27:28.158840,6.2,3.4,5.4,2.3,2
143,2024-07-31 06:27:27.152661,7.9,3.8,6.4,2.0,2
142,2024-07-31 06:27:26.146937,7.7,3.0,6.1,2.3,2
141,2024-07-31 06:27:25.139148,5.3,3.7,1.5,0.2,0
140,2024-07-31 06:27:24.131251,5.1,3.4,1.5,0.2,0
139,2024-07-31 06:27:23.126144,4.9,3.0,1.4,0.2,0
138,2024-07-31 06:27:22.118098,5.0,3.4,1.6,0.4,0
137,2024-07-31 06:27:21.110198,4.6,3.6,1.0,0.2,0
136,2024-07-31 06:27:20.105697,5.1,3.8,1.9,0.4,0
135,2024-07-31 06:27:19.097764,6.2,3.4,5.4,2.3,2
134,2024-07-31 06:27:18.092629,6.7,2.5,5.8,1.8,2
133,2024-07-31 06:27:17.087888,6.7,3.3,5.7,2.1,2
132,2024-07-31 06:27:16.079844,4.8,3.4,1.9,0.2,0
131,2024-07-31 06:27:15.074462,5.0,2.3,3.3,1.0,1
130,2024-07-31 06:27:14.066641,5.6,3.0,4.1,1.3,1
129,2024-07-31 06:27:13.058459,5.2,3.4,1.4,0.2,0
128,2024-07-31 06:27:12.053629,5.0,3.5,1.6,0.6,0
127,2024-07-31 06:27:11.048416,6.6,2.9,4.6,1.3,1
126,2024-07-31 06:27:10.040339,7.9,3.8,6.4,2.0,2
125,2024-07-31 06:27:09.032542,6.5,3.2,5.1,2.0,2
124,2024-07-31 06:27:08.027220,6.5,3.2,5.1,2.0,2
123,2024-07-31 06:27:07.022488,7.0,3.2,4.7,1.4,1
122,2024-07-31 06:27:06.016995,5.9,3.2,4.8,1.8,1
121,2024-07-31 06:27:05.008992,7.9,3.8,6.4,2.0,2
120,2024-07-31 06:27:04.003265,6.0,2.2,4.0,1.0,1
119,2024-07-31 06:27:02.995300,7.7,3.8,6.7,2.2,2
118,2024-07-31 06:27:01.989808,6.4,2.7,5.3,1.9,2
117,2024-07-31 06:27:00.984089,5.0,3.2,1.2,0.2,0
116,2024-07-31 06:26:59.978582,5.6,3.0,4.5,1.5,1
115,2024-07-31 06:26:58.972664,5.8,2.7,3.9,1.2,1
114,2024-07-31 06:26:57.967355,6.3,2.7,4.9,1.8,2
113,2024-07-31 06:26:56.962043,5.5,3.5,1.3,0.2,0
112,2024-07-31 06:26:55.956514,5.1,3.7,1.5,0.4,0
111,2024-07-31 06:26:54.950917,5.1,3.7,1.5,0.4,0
110,2024-07-31 06:26:53.945412,4.8,3.0,1.4,0.1,0
109,2024-07-31 06:26:52.939954,5.1,3.8,1.6,0.2,0
108,2024-07-31 06:26:51.934517,4.9,2.5,4.5,1.7,2
107,2024-07-31 06:26:50.928906,4.6,3.1,1.5,0.2,0
106,2024-07-31 06:26:49.923008,4.9,3.0,1.4,0.2,0
105,2024-07-31 06:26:48.917449,5.9,3.2,4.8,1.8,1
104,2024-07-31 06:26:47.911939,5.9,3.0,4.2,1.5,1
103,2024-07-31 06:26:46.906552,6.1,3.0,4.9,1.8,2
102,2024-07-31 06:26:45.901316,5.0,3.3,1.4,0.2,0
101,2024-07-31 06:26:44.895752,5.8,4.0,1.2,0.2,0
100,2024-07-31 06:26:43.890237,5.0,3.4,1.6,0.4,0
99,2024-07-31 06:26:42.884736,6.5,3.0,5.5,1.8,2
98,2024-07-31 06:26:41.878796,5.7,3.8,1.7,0.3,0
97,2024-07-31 06:26:40.873205,6.2,2.9,4.3,1.3,1
96,2024-07-31 06:26:39.867662,5.2,2.7,3.9,1.4,1
95,2024-07-31 06:26:38.862324,5.8,2.7,5.1,1.9,2
94,2024-07-31 06:26:37.856707,5.0,2.0,3.5,1.0,1
93,2024-07-31 06:26:36.852365,7.7,2.6,6.9,2.3,2
92,2024-07-31 06:26:35.845781,4.8,3.0,1.4,0.1,0
91,2024-07-31 06:26:34.839443,5.1,3.8,1.5,0.3,0
90,2024-07-31 06:26:33.833933,6.1,3.0,4.6,1.4,1
89,2024-07-31 06:26:32.828306,5.5,2.6,4.4,1.2,1
88,2024-07-31 06:26:31.822968,5.5,4.2,1.4,0.2,0
87,2024-07-31 06:26:30.817410,6.1,2.6,5.6,1.4,2
86,2024-07-31 06:26:29.812113,4.9,3.1,1.5,0.2,0
85,2024-07-31 06:26:28.806557,4.8,3.0,1.4,0.1,0
84,2024-07-31 06:26:27.800801,5.0,3.4,1.5,0.2,0
83,2024-07-31 06:26:26.795021,5.4,3.7,1.5,0.2,0
82,2024-07-31 06:26:25.789285,5.2,2.7,3.9,1.4,1
81,2024-07-31 06:26:24.781969,6.4,3.2,4.5,1.5,1
80,2024-07-31 06:26:23.776262,7.7,2.6,6.9,2.3,2
79,2024-07-31 06:26:22.770082,5.0,3.5,1.3,0.3,0
78,2024-07-31 06:26:21.764164,6.3,3.4,5.6,2.4,2
77,2024-07-31 06:26:20.758052,7.2,3.2,6.0,1.8,2
76,2024-07-31 06:26:19.752381,4.4,2.9,1.4,0.2,0
75,2024-07-31 06:26:18.746886,5.7,2.6,3.5,1.0,1
74,2024-07-31 06:26:17.741418,6.4,2.9,4.3,1.3,1
