id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
157,2024-07-30 06:53:47.150604,6.4,2.8,5.6,2.1,2
156,2024-07-30 06:53:46.147644,4.9,2.5,4.5,1.7,2
155,2024-07-30 06:53:45.143645,4.9,3.1,1.5,0.2,0
154,2024-07-30 06:53:44.139753,5.2,2.7,3.9,1.4,1
153,2024-07-30 06:53:43.136088,5.8,4.0,1.2,0.2,0
152,2024-07-30 06:53:42.132911,6.7,3.0,5.0,1.7,1
151,2024-07-30 06:53:41.129908,6.2,3.4,5.4,2.3,2
150,2024-07-30 06:53:40.125691,6.1,2.8,4.0,1.3,1
149,2024-07-30 06:53:39.121589,6.4,3.1,5.5,1.8,2
148,2024-07-30 06:53:38.117665,6.7,3.3,5.7,2.5,2
147,2024-07-30 06:53:37.113336,5.9,3.0,4.2,1.5,1
146,2024-07-30 06:53:36.109477,5.5,2.5,4.0,1.3,1
145,2024-07-30 06:53:35.105576,6.4,3.2,5.3,2.3,2
144,2024-07-30 06:53:34.101456,5.1,3.8,1.9,0.4,0
143,2024-07-30 06:53:33.097771,7.9,3.8,6.4,2.0,2
142,2024-07-30 06:53:32.094088,6.7,3.3,5.7,2.5,2
141,2024-07-30 06:53:31.090398,5.5,4.2,1.4,0.2,0
140,2024-07-30 06:53:30.086553,5.4,3.4,1.5,0.4,0
139,2024-07-30 06:53:29.082706,5.6,2.8,4.9,2.0,2
138,2024-07-30 06:53:28.079042,5.5,4.2,1.4,0.2,0
137,2024-07-30 06:53:27.075112,4.6,3.2,1.4,0.2,0
136,2024-07-30 06:53:26.071500,6.4,3.2,5.3,2.3,2
135,2024-07-30 06:53:25.067712,5.0,2.3,3.3,1.0,1
134,2024-07-30 06:53:24.064128,6.3,3.3,4.7,1.6,1
133,2024-07-30 06:53:23.060458,6.2,2.8,4.8,1.8,2
132,2024-07-30 06:53:22.056638,4.6,3.1,1.5,0.2,0
131,2024-07-30 06:53:21.052885,5.0,2.0,3.5,1.0,1
130,2024-07-30 06:53:20.048587,5.5,2.3,4.0,1.3,1
129,2024-07-30 06:53:19.044769,6.1,2.8,4.7,1.2,1
128,2024-07-30 06:53:18.041268,6.3,2.8,5.1,1.5,2
127,2024-07-30 06:53:17.037562,6.7,3.3,5.7,2.1,2
126,2024-07-30 06:53:16.034626,5.7,3.8,1.7,0.3,0
125,2024-07-30 06:53:15.030818,6.4,2.9,4.3,1.3,1
124,2024-07-30 06:53:14.026871,6.0,2.7,5.1,1.6,1
123,2024-07-30 06:53:13.022569,4.7,3.2,1.3,0.2,0
122,2024-07-30 06:53:12.015655,6.3,3.3,4.7,1.6,1
121,2024-07-30 06:53:11.011273,4.6,3.4,1.4,0.3,0
120,2024-07-30 06:53:10.007615,5.2,2.7,3.9,1.4,1
119,2024-07-30 06:53:09.003824,5.0,2.3,3.3,1.0,1
118,2024-07-30 06:53:07.999935,6.4,2.8,5.6,2.2,2
117,2024-07-30 06:53:06.995702,5.1,2.5,3.0,1.1,1
116,2024-07-30 06:53:05.991710,5.9,3.0,4.2,1.5,1
115,2024-07-30 06:53:04.988011,5.7,2.8,4.1,1.3,1
114,2024-07-30 06:53:03.984072,5.0,3.5,1.3,0.3,0
113,2024-07-30 06:53:02.980345,5.1,3.8,1.6,0.2,0
112,2024-07-30 06:53:01.977130,7.2,3.2,6.0,1.8,2
111,2024-07-30 06:53:00.973414,6.5,3.0,5.8,2.2,2
110,2024-07-30 06:52:59.969133,6.0,3.4,4.5,1.6,1
109,2024-07-30 06:52:58.965246,5.1,3.7,1.5,0.4,0
108,2024-07-30 06:52:57.961280,6.9,3.1,4.9,1.5,1
107,2024-07-30 06:52:56.957547,5.7,2.5,5.0,2.0,2
106,2024-07-30 06:52:55.953880,5.0,2.0,3.5,1.0,1
105,2024-07-30 06:52:54.950355,6.5,3.0,5.2,2.0,2
104,2024-07-30 06:52:53.947172,5.8,2.7,4.1,1.0,1
103,2024-07-30 06:52:52.942851,7.7,3.8,6.7,2.2,2
102,2024-07-30 06:52:51.937836,4.9,2.5,4.5,1.7,2
101,2024-07-30 06:52:50.934137,6.1,3.0,4.9,1.8,2
100,2024-07-30 06:52:49.930423,6.7,3.3,5.7,2.5,2
99,2024-07-30 06:52:48.925392,6.7,3.0,5.0,1.7,1
98,2024-07-30 06:52:47.920352,5.7,4.4,1.5,0.4,0
97,2024-07-30 06:52:46.916566,5.5,4.2,1.4,0.2,0
96,2024-07-30 06:52:45.912892,5.1,3.5,1.4,0.2,0
95,2024-07-30 06:52:44.909243,4.9,3.6,1.4,0.1,0
94,2024-07-30 06:52:43.905686,6.7,2.5,5.8,1.8,2
93,2024-07-30 06:52:42.903056,5.7,2.6,3.5,1.0,1
92,2024-07-30 06:52:41.900012,5.5,2.6,4.4,1.2,1
91,2024-07-30 06:52:40.896290,4.7,3.2,1.6,0.2,0
90,2024-07-30 06:52:39.892700,5.6,3.0,4.5,1.5,1
89,2024-07-30 06:52:38.888497,6.8,2.8,4.8,1.4,1
88,2024-07-30 06:52:37.884656,5.7,2.6,3.5,1.0,1
87,2024-07-30 06:52:36.880268,5.2,2.7,3.9,1.4,1
86,2024-07-30 06:52:35.876533,5.7,3.8,1.7,0.3,0
85,2024-07-30 06:52:34.872644,6.3,3.3,4.7,1.6,1
84,2024-07-30 06:52:33.868783,5.1,2.5,3.0,1.1,1
83,2024-07-30 06:52:32.864907,6.3,2.8,5.1,1.5,2
82,2024-07-30 06:52:31.861210,7.3,2.9,6.3,1.8,2
81,2024-07-30 06:52:30.857556,5.2,4.1,1.5,0.1,0
80,2024-07-30 06:52:29.853858,4.8,3.0,1.4,0.1,0
79,2024-07-30 06:52:28.849838,5.6,3.0,4.5,1.5,1
78,2024-07-30 06:52:27.845937,6.9,3.2,5.7,2.3,2
77,2024-07-30 06:52:26.841792,5.0,2.3,3.3,1.0,1
76,2024-07-30 06:52:25.838293,4.9,2.4,3.3,1.0,1
75,2024-07-30 06:52:24.834625,5.6,2.8,4.9,2.0,2
74,2024-07-30 06:52:23.831140,5.6,2.5,3.9,1.1,1
73,2024-07-30 06:52:22.826095,5.8,2.7,4.1,1.0,1
72,2024-07-30 06:52:21.822539,7.2,3.6,6.1,2.5,2
71,2024-07-30 06:52:20.819020,5.2,3.4,1.4,0.2,0
70,2024-07-30 06:52:19.815398,5.6,3.0,4.5,1.5,1
69,2024-07-30 06:52:18.811743,5.9,3.0,4.2,1.5,1
68,2024-07-30 06:52:17.808614,6.9,3.1,4.9,1.5,1
67,2024-07-30 06:52:16.804970,6.4,3.2,4.5,1.5,1
66,2024-07-30 06:52:15.801217,5.1,3.4,1.5,0.2,0
65,2024-07-30 06:52:14.797843,5.1,3.4,1.5,0.2,0
64,2024-07-30 06:52:13.794035,5.5,2.5,4.0,1.3,1
63,2024-07-30 06:52:12.790986,5.4,3.4,1.5,0.4,0
62,2024-07-30 06:52:11.787134,4.9,2.4,3.3,1.0,1
61,2024-07-30 06:52:10.783506,5.1,3.7,1.5,0.4,0
60,2024-07-30 06:52:09.779896,6.4,2.7,5.3,1.9,2
59,2024-07-30 06:52:08.776132,4.9,3.1,1.5,0.2,0
58,2024-07-30 06:52:07.772405,4.7,3.2,1.3,0.2,0
